county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Stanislaus,0,8,24.299999,91,7,4.4000001,1
Sutter,0,7,24.5,67.099998,8.6000004,4.5,1
Tehama,1,7.0999999,28,59,7.8000002,4.5999999,1
Trinity,0,7,24.200001,87.699997,8.6999998,5.0999999,1
Tulare,1,7.5,26.9,60.299999,8.8000002,4.8000002,1
Tuolumne,0,7.1999998,20.9,86.099998,6.4000001,4.8000002,1
Ventura,0,9,17.200001,97.699997,9.3000002,4.3000002,1
Yolo,0,8,13.8,96,6,6.0999999,1
Yuba,0,6.8000002,33.799999,87.900002,7.4000001,4.5999999,1
Adams,0,8.6999998,19.9,93.099998,11,3.7,1
Alamosa,0,8.1999998,23.9,83.099998,13.2,5.1999998,1
Arapahoe,0,8.3999996,16.6,98.099998,8.5,4,1
Archuleta,0,7.8000002,12.5,89.400002,12.9,3.9000001,1
Baca,0,7.5,28.5,81.300003,15.8,4.5999999,1
Bent,0,7.1999998,24.1,81.599998,10.4,4.1999998,1
Boulder,0,8.3000002,9.5,96.199997,6.8000002,5.1999998,1
Broomfield,0,8.6000004,13,99.5,4.8000002,3.8,1
Chaffee,0,8.6000004,17.1,97.099998,10.2,4.4000001,1
Cheyenne,0,8,30.9,48.5,14.9,4.0999999,1
Clear Creek,0,8.6999998,16.700001,81.800003,5.5,3.5999999,1
Conejos,0,9,25.5,22.1,10.7,5,1
Costilla,0,4.6999998,25.1,41.5,14.9,4.8000002,1
Crowley,0,8,20.5,33.099998,11.1,4.5,1
Custer,0,7.6999998,21.200001,95,12.6,3.9000001,1
Delta,0,8,20.4,73.300003,10.7,4.5999999,1
Denver,0,8.1000004,12.8,99.5,10.7,5.0999999,1
Dolores,0,4.0999999,17.299999,27.799999,11.7,4,1
Douglas,0,9.1999998,10.6,93.400002,3.8,3.3,1
Eagle,0,9.1000004,12,97.800003,12.2,3.5,1
Elbert,0,8.6999998,18.700001,56.299999,7.8000002,3.9000001,1
El Paso,0,7.6999998,16.4,88.400002,7.5999999,4.1999998,1
Fremont,0,7.1999998,20.799999,64.900002,9.1000004,4.5,1
Garfield,0,8.6999998,14.1,93.900002,13.8,3.5999999,1
Gilpin,0,9.1000004,19.299999,81.699997,4.3000002,3.3,1
Grand,0,8.5,14.2,74.699997,10.6,3.7,1
Gunnison,0,8,14.5,90.900002,10.5,4.3000002,1
Hinsdale,0,8.1999998,24.5,41.599998,10.5,4.3000002,1
Huerfano,0,7.5999999,21.4,75.400002,7.9000001,4.8000002,1
Jackson,0,8.3000002,23.200001,87.199997,13.6,4,1
Jefferson,0,8.6000004,13.9,99.199997,6.8000002,4,1
Kiowa,0,4.6999998,30.9,58.5,11.3,3.5999999,1
Kit Carson,0,8.3999996,20.700001,27.9,14.9,3.5,1
Lake,0,8.3000002,18.1,86.699997,11.7,4.9000001,1
La Plata,0,8.3999996,13.6,75.400002,11.6,4.0999999,1
Larimer,0,8.1000004,13.1,92.800003,7.4000001,4.4000001,1
Las Animas,0,7.5999999,30.1,80.400002,12.2,4.6999998,1
Lincoln,0,7.8000002,21.799999,59.799999,9.5,4.0999999,1
Logan,1,7.6999998,23.4,84,10.5,4.5,1
Mesa,0,7.4000001,15.6,77.400002,9.5,4.5999999,1
Mineral,0,8.5,17.6,100,9.8999996,3,1
Moffat,0,8,21.6,76.099998,9.8999996,4.5,1
Montezuma,0,7.5999999,21.6,79.599998,13.8,4.4000001,1
Montrose,0,7.5999999,17.6,86.5,12.2,4.3000002,1
Morgan,1,8.8999996,21.5,72.300003,12.4,3.8,1
Otero,1,7.3000002,22.5,70.699997,10.8,6.0999999,1
Ouray,0,8.3999996,17,70.5,8.6999998,4.5,1
Park,0,7.6999998,17.9,72.099998,8.6999998,3.8,1
Phillips,0,8.8999996,25.299999,82.800003,13.2,3.9000001,1
Pitkin,0,8.5,13.6,92.699997,12.3,3.7,1
Prowers,1,7.6999998,21.4,55.299999,14.1,4.1999998,1
Pueblo,0,7.3000002,22.1,64.5,8.3999996,4.9000001,1
Rio Blanco,0,8.1999998,18.9,94.800003,9.1999998,4.4000001,1
