county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Randolph,33,6.3000002,33.200001,41.5,8.8999996,4.4000001,4
St. Francis,48.200001,4.5,40.099998,62.099998,8.5,5.1999998,4
Saline,30.1,7.9000001,27.200001,58.599998,7.5,3.7,4
Scott,37.799999,7.1999998,37.400002,88.5,11.7,4.5999999,4
Searcy,25.200001,6.4000001,31.299999,23.299999,10,4.6999998,4
Sebastian,34.700001,7.3000002,30,78.199997,12.9,4.5999999,4
Sevier,32.599998,7.4000001,37,56.299999,17.700001,4.0999999,4
Sharp,40.700001,6.5,34.900002,45.099998,10.5,4.0999999,4
Stone,40.5,6.3000002,32.5,57.5,11.9,4.9000001,4
Union,35,5.8000002,32.599998,48.099998,8.8999996,5.6999998,4
Van Buren,36.799999,7.0999999,30.700001,57.400002,9.8000002,4.6999998,4
Washington,31.9,7.5,25.4,86.400002,12.4,4.6999998,4
White,32.900002,7.3000002,30.6,57,8.5,5,4
Woodruff,33.299999,6.4000001,40.599998,49.799999,9.6999998,6.4000001,4
Yell,36.799999,7.6999998,35.299999,53.799999,12,4.4000001,1
Alameda,22.200001,8.3000002,14.5,99.699997,5.8000002,5.1999998,1
Alpine,16.799999,6.9000001,20.6,100,7.5999999,4.1999998,1
Amador,30.1,8.1999998,24.799999,75.900002,6.1999998,4.1999998,1
Butte,30.200001,7,22.4,84.199997,7.1999998,5.5999999,1
Calaveras,28.299999,8.1999998,31.200001,60.400002,7.3000002,4.5999999,1
Colusa,39,8.1999998,27.9,74.900002,10.7,4.1999998,1
Contra Costa,25.1,8.5,16.200001,96.900002,5.9000001,4.6999998,1
Del Norte,33.900002,6.4000001,24.9,89.099998,6.1999998,5.0999999,1
El Dorado,25.6,8.1999998,18.200001,89.599998,5.4000001,4.9000001,1
Fresno,33,7.6999998,20,78.5,8.6999998,5.0999999,1
Glenn,34.200001,8,19.299999,66.099998,11,5.3000002,1
Humboldt,24.9,7.0999999,16.9,85.099998,8.8999996,4.8000002,1
Imperial,32.799999,7.1999998,31.4,69.099998,7.9000001,5.9000001,1
Inyo,27,7.5,26.5,41.700001,9,4,1
Kern,31.200001,7.6999998,22.4,75.900002,8.6000004,4.9000001,1
Kings,34,7.8000002,23.700001,43.799999,9,4.1999998,1
Lake,22.4,7,23.1,65.5,9.1999998,5.4000001,1
Lassen,32.799999,7.5,36.900002,54.200001,4.8000002,4.5999999,1
Los Angeles,22.1,8.5,16.4,97.599998,10.1,5.4000001,1
Madera,36.799999,7.6999998,28,70.300003,10.4,4.5999999,1
Marin,17.6,8.8000002,12.6,97.199997,5.4000001,5.6999998,1
Mariposa,15.6,7.5,20.700001,48.700001,8,4.5,1
Mendocino,30.4,7.5999999,18.6,72.300003,10.7,5,1
Merced,33.400002,7.5999999,21.799999,69.599998,8.6999998,4.5999999,1
Modoc,25.6,6.8000002,25.299999,46.299999,10.5,4.0999999,1
Mono,28.5,7.4000001,17.5,92.5,10,3,1
Monterey,24.9,8.6000004,19.799999,90.300003,11.5,4.1999998,1
Napa,24.1,9,18.5,89.800003,8.5,4.5,1
Nevada,18.1,7.8000002,14.4,81.099998,7,4.6999998,1
Orange,19.9,8.8999996,15.2,99.699997,8.3000002,4.6999998,1
Placer,20.200001,8.5,15.2,93.900002,4.3000002,4.6999998,1
Plumas,23.6,7.5999999,23.5,98,6.9000001,4.5,1
Riverside,28.299999,8.3000002,20.700001,88.900002,8.8999996,4.6999998,1
Sacramento,29.9,7.5999999,18.700001,97.400002,6.4000001,4.9000001,1
San Benito,35.700001,9.3999996,28.200001,66.400002,8.1000004,3.7,1
San Bernardino,30.799999,8.1000004,22.9,84.300003,8.3000002,4.5999999,1
San Diego,20.299999,8.3999996,14.4,97,8.3999996,4.6999998,1
San Francisco,16.9,8.1999998,13.8,100,5,7.0999999,1
San Joaquin,35.5,7.9000001,24.9,85.699997,7.5999999,4.8000002,1
San Luis Obispo,28.6,8.1000004,15,87.599998,7.3000002,4.6999998,1
San Mateo,22.9,9.1000004,15.6,99.699997,5.4000001,4.9000001,1
Santa Barbara,24.200001,8.6000004,16.4,92.199997,10.5,4.6999998,1
Santa Clara,19.9,8.8999996,15.9,99.099998,5.0999999,5,1
Santa Cruz,19.299999,8.3000002,11.4,94,7.4000001,5.5999999,1
Shasta,26.6,6.9000001,19.5,77.900002,7.0999999,4.8000002,1
Sierra,19.1,5.8000002,28.5,70.199997,7.8000002,5.8000002,1
Siskiyou,34.5,6.5999999,23.299999,72.5,8.6000004,4.5,1
Solano,29.200001,8,23.299999,96.699997,5.6999998,4.1999998,1
Sonoma,23.9,8.5,15.5,93.699997,7.5999999,4.5,1
Stanislaus,31.5,8,24.299999,91,7,4.4000001,1
Sutter,29.700001,7,24.5,67.099998,8.6000004,4.5,1
Tehama,34.700001,7.0999999,28,59,7.8000002,4.5999999,1
Trinity,28.9,7,24.200001,87.699997,8.6999998,5.0999999,1
Tulare,37.200001,7.5,26.9,60.299999,8.8000002,4.8000002,1
Tuolumne,29.700001,7.1999998,20.9,86.099998,6.4000001,4.8000002,1
Ventura,20.200001,9,17.200001,97.699997,9.3000002,4.3000002,1
Yolo,24.4,8,13.8,96,6,6.0999999,1
Yuba,29.4,6.8000002,33.799999,87.900002,7.4000001,4.5999999,1
Adams,28.6,8.6999998,19.9,93.099998,11,3.7,1
Alamosa,31,8.1999998,23.9,83.099998,13.2,5.1999998,1
Arapahoe,22.700001,8.3999996,16.6,98.099998,8.5,4,1
Archuleta,24.200001,7.8000002,12.5,89.400002,12.9,3.9000001,1
Baca,31,7.5,28.5,81.300003,15.8,4.5999999,1
Bent,33,7.1999998,24.1,81.599998,10.4,4.1999998,1
Boulder,14.3,8.3000002,9.5,96.199997,6.8000002,5.1999998,1
